City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,nikolayevsk-on-amure,53.1406,140.73,-19.69,93,100,1.53,RU,1704674942
133,aquitania,5.5197,-72.8875,8.26,91,100,0.6,CO,1704674942
134,kirensk,57.7853,108.1119,-31.14,100,84,1.49,RU,1704674943
135,el calafate,-50.3408,-72.2768,9.23,52,87,5.86,AR,1704674944
136,victorica,-36.2151,-65.4359,19.77,76,0,6.07,AR,1704674945
137,sosnogorsk,63.6023,53.8817,-19.26,98,97,2.2,RU,1704674946
138,tazacorte,28.629,-17.9293,18.42,90,0,3.6,ES,1704674946
139,chinhoyi,-17.3667,30.2,18.59,87,65,2.12,ZW,1704674948
140,greymouth,-42.4667,171.2,19.53,60,98,2.7,NZ,1704674858
141,bredasdorp,-34.5322,20.0403,16.0,76,81,1.79,ZA,1704674950
142,winnemucca,40.973,-117.7357,-1.97,80,100,4.12,US,1704674950
143,sao joao da barra,-21.6403,-41.0511,25.05,86,54,2.75,BR,1704674951
144,vadso,70.0744,29.7487,-3.51,74,75,4.63,NO,1704674952
145,hawaiian paradise park,19.5933,-154.9731,26.04,83,40,6.17,US,1704674953
146,massawa,15.6097,39.45,26.0,67,4,1.47,ER,1704674954
147,salinopolis,-0.6136,-47.3561,25.88,86,100,3.73,BR,1704674955
148,copiapo,-27.3667,-70.3333,15.83,53,0,1.22,CL,1704674368
149,micco,27.8806,-80.5003,16.12,86,100,4.71,US,1704674956
150,anadyr,64.75,177.4833,-13.72,84,100,4.0,RU,1704674957
151,iskateley,67.6803,53.1512,-14.99,94,10,4.02,RU,1704674958
152,mont-laurier,46.5501,-75.4993,-7.21,99,91,0.49,CA,1704674882
153,san patricio,28.017,-97.5169,19.91,67,96,7.44,US,1704674960
154,dudinka,69.4058,86.1778,-21.85,98,100,8.05,RU,1704674715
155,prince rupert,54.3161,-130.3201,3.83,80,75,8.23,CA,1704674961
156,yangchun,22.1667,111.7833,19.63,74,92,1.3,CN,1704674962
157,laascaanood,8.4774,47.3597,17.0,69,22,4.01,SO,1704674963
158,santa vitoria do palmar,-33.5189,-53.3681,20.52,95,100,5.07,BR,1704674964
159,colonia,50.9333,6.95,-0.02,63,100,6.69,DE,1704674811
160,petropavlovsk-kamchatsky,53.0452,158.6483,-15.86,78,20,5.36,RU,1704674965
161,ponta delgada,37.7333,-25.6667,17.4,67,40,5.66,PT,1704674828
162,teluk nibung,3.001,99.8164,24.67,92,100,0.82,ID,1704674968
163,dolores,-36.3132,-57.6792,19.15,89,87,3.25,AR,1704674968
164,olinda,-8.0089,-34.8553,27.85,74,40,3.09,BR,1704674969
165,ambalangoda,6.2355,80.0538,24.45,90,91,1.8,LK,1704674871
166,i-n-salah,27.1935,2.4607,14.46,24,89,3.09,DZ,1704674971
167,xiaoweizhai,26.1903,107.5125,7.97,94,100,1.44,CN,1704674972
168,camayenne,9.535,-13.6878,27.05,83,100,2.06,GN,1704674816
169,tazovsky,67.4667,78.7,-26.02,100,69,3.19,RU,1704674973
170,georgetown,5.4112,100.3354,26.64,90,20,1.03,MY,1704674685
171,fortuna,40.5982,-124.1573,9.25,82,100,0.0,US,1704674975
172,begoro,6.3871,-0.3774,23.05,86,0,1.46,GH,1704674976
173,kuytun,54.3419,101.5036,-26.67,100,91,0.76,RU,1704674977
174,shatki,55.1887,44.1249,-24.48,100,53,2.34,RU,1704674978
175,kavieng,-2.5744,150.7967,29.94,68,99,1.89,PG,1704674979
176,sebdou,34.637,-1.3314,-0.39,45,0,2.35,DZ,1704674979
177,msowero,-6.5333,37.2,21.73,96,100,0.94,TZ,1704674980
178,nuuk,64.1835,-51.7216,-3.66,80,100,7.72,GL,1704674981
179,baise city,23.8997,106.6133,20.75,99,100,0.92,CN,1704674982
180,raton,36.9034,-104.4391,-0.81,68,20,2.06,US,1704674982
181,chibougamau,49.9168,-74.3659,-13.21,85,100,2.06,CA,1704674983
182,yanam,16.7333,82.2167,22.51,77,25,3.84,IN,1704674984
183,thisted,56.9552,8.6949,-6.03,80,10,4.11,DK,1704674984
184,new norfolk,-42.7826,147.0587,15.72,88,100,2.12,AU,1704674987
185,villa yapacani,-17.4,-63.8333,24.96,88,95,1.59,BO,1704674987
186,betio village,1.358,172.9211,31.02,76,97,6.44,KI,1704674988
187,vikhorevka,56.1201,101.1636,-19.23,100,98,1.14,RU,1704674989
188,xilin hot,43.9667,116.0333,-14.69,92,98,1.92,CN,1704674990
189,filingue,14.3521,3.3168,22.52,13,100,3.56,NE,1704674990
190,kapuskasing,49.4169,-82.4331,-8.95,86,100,5.14,CA,1704674707
191,talnakh,69.4865,88.3972,-22.11,98,100,4.68,RU,1704674824
192,vilyuysk,63.7553,121.6247,-33.33,98,100,1.79,RU,1704674992
193,wailua homesteads,22.0669,-159.378,26.24,73,75,7.72,US,1704674993
194,kingscliff,-28.2667,153.5667,26.52,89,100,2.57,AU,1704674994
195,borivli,19.2333,72.85,25.95,65,20,2.06,IN,1704674995
196,yuzhno-kurilsk,44.0306,145.8556,-1.46,79,23,7.49,RU,1704674995
197,saldanha,-33.0117,17.9442,16.03,77,0,9.93,ZA,1704674996
198,angaur state,6.906,134.13,28.14,80,100,5.75,PW,1704674997
